Temporada,Date,ADV,Resultado,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,V,BLK,STL,PF,TO,PTS,Estat. Temporada Regular
2017,october,october,october,26.0,6.0-11.3,52.9,0.7-2.7,25.0,0.7-1.0,66.7,9.3,1.7,0.3,1.3,4.3,3.0,13.3,
2018,Qui 12/4,emMIN,D112-106 TE,46.0,14-25,56.0,4-7,57.1,3-4,75.0,10.0,3.0,0.0,1.0,4.0,3.0,35.0,
2018,Ter 10/4,xPOR,V88-82,38.0,5-14,35.7,1-4,25.0,4-4,100.0,20.0,11.0,1.0,2.0,2.0,2.0,15.0,
2018,Sáb 7/4,emLAC,V134-115,34.0,9-14,64.3,1-2,50.0,4-5,80.0,11.0,11.0,1.0,2.0,2.0,2.0,23.0,
2018,Sex 6/4,xMIN,V100-96,36.0,6-20,30.0,1-6,16.7,3-3,100.0,14.0,9.0,1.0,1.0,5.0,2.0,16.0,
2018,Qua 4/4,xIND,V107-104,38.0,11-17,64.7,4-6,66.7,4-6,66.7,6.0,7.0,1.0,4.0,3.0,4.0,30.0,
2018,Seg 2/4,xMIL,V128-125 TE,44.0,14-24,58.3,2-5,40.0,5-5,100.0,13.0,5.0,3.0,0.0,4.0,4.0,35.0,
2018,april,april,april,39.3,9.8-19.0,51.8,2.2-5.0,43.3,3.8-4.5,85.2,12.3,7.7,1.2,1.7,3.3,2.8,25.7,
2018,Sáb 31/3,emOKC,V126-125 TE,41.0,11-22,50.0,1-6,16.7,0-0,0.0,16.0,6.0,2.0,1.0,3.0,4.0,23.0,
2018,Ter 27/3,emTOR,D114-110,40.0,11-21,52.4,3-7,42.9,4-4,100.0,16.0,8.0,1.0,2.0,2.0,3.0,29.0,
2018,Seg 26/3,emPHI,D123-104,31.0,4-14,28.6,1-2,50.0,5-6,83.3,7.0,4.0,1.0,1.0,4.0,2.0,14.0,
2018,Sex 23/3,emWSH,V108-100,37.0,10-21,47.6,3-6,50.0,2-2,100.0,8.0,5.0,1.0,0.0,2.0,2.0,25.0,
2018,Qui 22/3,emCHI,V135-102,24.0,9-11,81.8,2-2,100.0,1-1,100.0,7.0,5.0,0.0,0.0,1.0,1.0,21.0,
2018,Seg 19/3,emMIA,D149-141 2TE,47.0,12-22,54.5,4-5,80.0,6-6,100.0,15.0,3.0,0.0,1.0,5.0,5.0,34.0,
2018,Dom 18/3,emMEM,D101-94,35.0,5-15,33.3,1-4,25.0,6-8,75.0,13.0,2.0,2.0,3.0,3.0,1.0,17.0,
2018,Sex 16/3,xDET,V120-113,38.0,8-15,53.3,2-5,40.0,5-6,83.3,12.0,10.0,3.0,3.0,5.0,2.0,23.0,
2018,Qua 14/3,emLAL,D112-103,27.0,5-8,62.5,2-5,40.0,3-3,100.0,9.0,5.0,0.0,1.0,3.0,4.0,15.0,
2018,Dom 11/3,xSAC,V130-104,30.0,8-10,80.0,4-4,100.0,0-0,0.0,11.0,10.0,1.0,2.0,1.0,2.0,20.0,
2018,Sáb 10/3,xLAL,V125-116,33.0,8-14,57.1,1-3,33.3,4-4,100.0,6.0,6.0,0.0,2.0,2.0,3.0,21.0,
2018,Qui 8/3,xCLE,D113-108,34.0,12-14,85.7,2-3,66.7,10-11,90.9,13.0,6.0,0.0,0.0,2.0,5.0,36.0,
2018,Qua 7/3,emDAL,D118-107,26.0,2-9,22.2,0-4,0.0,0-1,0.0,9.0,5.0,1.0,2.0,0.0,1.0,4.0,
2018,Dom 4/3,emCLE,V126-117,32.0,3-8,37.5,1-2,50.0,2-3,66.7,7.0,8.0,1.0,0.0,2.0,2.0,9.0,
2018,Sáb 3/3,emMEM,V108-102,33.0,2-5,40.0,0-1,0.0,5-7,71.4,9.0,5.0,0.0,1.0,5.0,5.0,9.0,
2018,march,march,march,33.8,7.3-13.9,52.6,1.8-3.9,45.8,3.5-4.1,85.5,10.5,5.9,0.9,1.3,2.7,2.8,20.0,
2018,Qua 28/2,xLAC,D122-120,28.0,4-5,80.0,2-3,66.7,8-8,100.0,6.0,4.0,1.0,1.0,4.0,5.0,18.0,
2018,Seg 26/2,xHOU,D119-114,31.0,7-18,38.9,0-1,0.0,7-9,77.8,14.0,8.0,1.0,1.0,4.0,3.0,21.0,
2018,Sáb 24/2,xSA,V122-119,34.0,10-16,62.5,3-5,60.0,5-7,71.4,11.0,11.0,0.0,0.0,6.0,3.0,28.0,
2018,Sex 16/2,emMIL,V134-123,34.0,11-14,78.6,3-3,100.0,5-5,100.0,15.0,17.0,2.0,1.0,5.0,8.0,30.0,
2018,Qua 14/2,xSA,V117-109,33.0,8-15,53.3,2-5,40.0,5-6,83.3,13.0,11.0,1.0,0.0,0.0,1.0,23.0,
2018,Dom 11/2,emPHX,V123-113,27.0,5-12,41.7,1-2,50.0,10-11,90.9,9.0,8.0,1.0,1.0,3.0,2.0,21.0,
2018,Sáb 10/2,emHOU,D130-104,22.0,6-8,75.0,1-1,100.0,1-2,50.0,7.0,5.0,1.0,2.0,4.0,1.0,14.0,
2018,Ter 6/2,xCHA,V121-104,32.0,5-11,45.5,2-4,50.0,3-3,100.0,16.0,7.0,0.0,2.0,3.0,3.0,15.0,
2018,Dom 4/2,xGS,V115-108,33.0,7-16,43.8,2-3,66.7,3-3,100.0,9.0,5.0,0.0,2.0,2.0,4.0,19.0,
2018,Sex 2/2,xOKC,V127-124,37.0,11-18,61.1,2-5,40.0,5-6,83.3,13.0,14.0,2.0,1.0,3.0,2.0,29.0,
2018,february,february,february,31.2,7.4-13.3,55.6,1.8-3.2,56.3,5.2-6.0,86.7,11.3,9.0,0.9,1.1,3.4,3.2,21.8,
2018,Qua 31/1,emSA,D106-104,34.0,6-11,54.5,1-2,50.0,0-0,0.0,7.0,8.0,0.0,0.0,3.0,5.0,13.0,
2018,Ter 30/1,xBOS,D111-110,35.0,8-17,47.1,2-5,40.0,6-7,85.7,11.0,5.0,0.0,0.0,2.0,2.0,24.0,
2018,Dom 28/1,xDAL,V91-89,40.0,5-13,38.5,1-6,16.7,0-1,0.0,16.0,11.0,2.0,0.0,3.0,3.0,11.0,
2018,Sex 26/1,xNY,V130-118,35.0,5-9,55.6,1-2,50.0,7-9,77.8,7.0,10.0,0.0,0.0,4.0,1.0,18.0,
2018,Ter 23/1,xPOR,V104-101,33.0,5-17,29.4,2-5,40.0,4-7,57.1,12.0,5.0,1.0,1.0,4.0,3.0,16.0,
2018,Sáb 20/1,xPHX,D108-100,35.0,5-12,41.7,2-3,66.7,2-2,100.0,17.0,5.0,0.0,0.0,4.0,6.0,14.0,
2018,Qui 18/1,emLAC,D109-104,34.0,7-18,38.9,1-8,12.5,3-4,75.0,8.0,2.0,2.0,1.0,4.0,1.0,18.0,
2018,Qua 17/1,xDAL,V105-102,33.0,11-23,47.8,0-2,0.0,7-10,70.0,18.0,7.0,1.0,2.0,5.0,5.0,29.0,
2018,Dom 14/1,emSA,D112-80,30.0,8-13,61.5,3-6,50.0,4-4,100.0,9.0,7.0,0.0,2.0,2.0,2.0,23.0,
2018,Sáb 13/1,xMEM,V87-78,28.0,3-8,37.5,1-3,33.3,7-8,87.5,7.0,3.0,0.0,0.0,3.0,1.0,14.0,
2018,Qui 11/1,xATL,D110-97,32.0,4-21,19.0,0-8,0.0,1-2,50.0,12.0,7.0,3.0,2.0,3.0,2.0,9.0,
2018,Ter 9/1,emGS,D124-114,36.0,9-16,56.3,1-1,100.0,3-3,100.0,12.0,11.0,1.0,3.0,3.0,6.0,22.0,
2018,Dom 7/1,emSAC,D106-98,34.0,3-10,30.0,0-4,0.0,2-2,100.0,7.0,10.0,0.0,0.0,3.0,5.0,8.0,
2018,Sáb 6/1,xUTAH,V99-91,32.0,3-13,23.1,1-4,25.0,1-2,50.0,10.0,4.0,0.0,1.0,3.0,2.0,8.0,
2018,Qui 4/1,xPHX,V134-111,36.0,4-6,66.7,1-1,100.0,5-5,100.0,9.0,8.0,0.0,2.0,3.0,6.0,14.0,
2018,january,january,january,33.9,5.7-13.8,41.5,1.1-4.0,28.3,3.5-4.4,78.8,10.8,6.9,0.7,0.9,3.3,3.3,16.1,
2018,Dom 31/12,xPHI,D107-102,37.0,5-14,35.7,1-5,20.0,8-9,88.9,13.0,6.0,3.0,1.0,0.0,2.0,19.0,
2018,Qui 28/12,emMIN,D128-125 TE,41.0,5-11,45.5,1-3,33.3,11-12,91.7,9.0,4.0,1.0,2.0,3.0,2.0,22.0,
2018,Qua 27/12,xUTAH,V107-83,26.0,4-10,40.0,1-3,33.3,4-4,100.0,7.0,5.0,0.0,1.0,5.0,1.0,13.0,
2018,Dom 24/12,emGS,V96-81,37.0,9-16,56.3,0-3,0.0,0-0,0.0,9.0,4.0,1.0,1.0,0.0,2.0,18.0,
2018,Sáb 23/12,emPOR,V102-85,37.0,12-21,57.1,2-6,33.3,1-1,100.0,9.0,6.0,2.0,0.0,4.0,4.0,27.0,
2018,Qui 21/12,xMIN,D112-104,36.0,6-12,50.0,2-6,33.3,8-9,88.9,6.0,4.0,2.0,0.0,3.0,10.0,22.0,
2018,Ter 19/12,emOKC,D95-94,25.0,5-9,55.6,0-2,0.0,3-4,75.0,9.0,2.0,0.0,2.0,2.0,1.0,13.0,
2018,Sáb 16/12,xNO,V117-111 TE,22.0,6-13,46.2,1-2,50.0,0-0,0.0,11.0,4.0,0.0,0.0,2.0,1.0,13.0,
2018,december,december,december,32.6,6.5-13.3,49.1,1.0-3.8,26.7,4.4-4.9,89.7,9.1,4.4,1.1,0.9,2.4,2.9,18.4,
2018,Sex 1/12,xCHI,V111-110,16.0,3-6,50.0,0-0,0.0,2-2,100.0,4.0,4.0,0.0,0.0,1.0,0.0,8.0,
2018,Qua 29/11,emUTAH,D106-77,26.0,3-7,42.9,1-3,33.3,0-0,0.0,6.0,6.0,1.0,1.0,1.0,2.0,7.0,
2018,Sáb 25/11,xMEM,V104-92,36.0,11-17,64.7,2-5,40.0,4-6,66.7,13.0,8.0,0.0,2.0,4.0,5.0,28.0,
2018,Qui 23/11,emHOU,D125-95,26.0,7-14,50.0,1-2,50.0,2-3,66.7,6.0,3.0,1.0,2.0,2.0,2.0,17.0,
2018,Ter 21/11,emSAC,V114-98,35.0,7-12,58.3,2-6,33.3,0-0,0.0,14.0,3.0,1.0,1.0,0.0,2.0,16.0,
2018,Seg 20/11,emLAL,D127-109,12.0,1-5,20.0,0-0,0.0,4-4,100.0,6.0,1.0,0.0,1.0,2.0,2.0,6.0,
2018,Sáb 18/11,xNO,V146-114,27.0,3-5,60.0,1-2,50.0,6-6,100.0,11.0,6.0,1.0,0.0,3.0,2.0,13.0,
2018,Ter 14/11,emPOR,D99-82,35.0,2-9,22.2,1-4,25.0,1-2,50.0,7.0,3.0,1.0,3.0,2.0,3.0,6.0,
2018,Dom 12/11,xORL,V125-107,38.0,3-8,37.5,1-1,100.0,5-6,83.3,17.0,9.0,1.0,4.0,2.0,1.0,12.0,
2018,Sex 10/11,xOKC,V102-94,28.0,7-16,43.8,1-5,20.0,0-0,0.0,11.0,3.0,0.0,1.0,4.0,3.0,15.0,
2018,Qua 8/11,xBKN,V112-104,31.0,16-25,64.0,4-9,44.4,5-6,83.3,12.0,5.0,2.0,2.0,6.0,1.0,41.0,
2018,Dom 5/11,xGS,D127-108,20.0,2-6,33.3,0-0,0.0,4-4,100.0,7.0,3.0,0.0,2.0,1.0,1.0,8.0,
2018,Sáb 4/11,xMIA,V95-94,34.0,8-15,53.3,2-6,33.3,1-1,100.0,14.0,2.0,1.0,4.0,4.0,1.0,19.0,
2018,Qui 2/11,xTOR,V129-111,31.0,4-10,40.0,0-3,0.0,0-0,0.0,16.0,10.0,2.0,1.0,2.0,0.0,8.0,
2018,november,november,november,28.1,5.5-11.1,49.7,1.1-3.3,34.8,2.4-2.9,85.0,10.3,4.7,0.8,1.7,2.4,1.8,14.6,
2018,Seg 30/10,emNY,D116-110,30.0,9-15,60.0,6-10,60.0,4-6,66.7,8.0,2.0,1.0,1.0,1.0,2.0,28.0,
2018,Dom 29/10,emBKN,V124-111,29.0,9-16,56.3,1-3,33.3,2-2,100.0,14.0,4.0,1.0,1.0,3.0,1.0,21.0,
2018,Sex 27/10,emATL,V105-100,33.0,8-16,50.0,0-1,0.0,2-2,100.0,15.0,5.0,0.0,1.0,0.0,2.0,18.0,
2018,Qua 25/10,emCHA,D110-93,30.0,8-12,66.7,1-1,100.0,1-1,100.0,12.0,0.0,0.0,0.0,3.0,2.0,18.0,
2018,Ter 24/10,xWSH,D109-104,35.0,9-14,64.3,3-3,100.0,8-8,100.0,9.0,5.0,0.0,1.0,4.0,7.0,29.0,
2018,Dom 22/10,xSAC,V96-79,30.0,0-3,0.0,0-1,0.0,0-0,0.0,9.0,7.0,0.0,1.0,4.0,3.0,0.0,
2018,Qui 19/10,emUTAH,D106-96,36.0,3-10,30.0,1-4,25.0,0-0,0.0,12.0,7.0,0.0,0.0,1.0,4.0,7.0,
2018,october,october,october,32.0,6.6-12.3,53.5,1.7-3.3,52.2,2.4-2.7,89.5,11.3,4.3,0.3,0.7,2.3,3.0,17.3,
2019,Qui 11/4,xMIN,V99-95,37.0,13-26,50.0,1-7,14.3,2-2,100.0,14.0,2.0,0.0,3.0,4.0,4.0,29.0,
2019,Qua 10/4,emUTAH,D118-108,16.0,1-6,16.7,0-0,0.0,0-2,0.0,5.0,2.0,1.0,1.0,6.0,1.0,2.0,
2019,Sáb 6/4,xPOR,V119-110,37.0,9-15,60.0,1-4,25.0,3-4,75.0,13.0,9.0,1.0,2.0,3.0,2.0,22.0,
2019,Qui 4/4,xSA,V113-85,29.0,9-10,90.0,0-1,0.0,2-3,66.7,11.0,9.0,0.0,0.0,3.0,5.0,20.0,
2019,Qua 3/4,emGS,D116-102,28.0,4-10,40.0,0-3,0.0,2-3,66.7,5.0,6.0,0.0,4.0,1.0,6.0,10.0,
2019,april,april,april,29.2,7.2-13.4,53.7,0.4-3.0,13.3,1.8-2.8,64.3,9.6,5.6,0.4,2.0,3.4,3.6,16.6,
2019,Seg 1/4,xWSH,D95-90,30.0,11-15,73.3,0-2,0.0,1-3,33.3,14.0,4.0,1.0,2.0,3.0,2.0,23.0,
2019,Sáb 30/3,emOKC,V115-105,34.0,10-16,62.5,1-3,33.3,2-2,100.0,16.0,3.0,0.0,1.0,3.0,2.0,23.0,
2019,Sex 29/3,emHOU,D112-85,25.0,7-14,50.0,0-0,0.0,2-2,100.0,8.0,6.0,2.0,0.0,3.0,2.0,16.0,
2019,Qua 27/3,xDET,V95-92,33.0,10-24,41.7,0-5,0.0,3-5,60.0,15.0,2.0,0.0,0.0,3.0,3.0,23.0,
2019,Dom 24/3,emIND,D124-88,30.0,8-16,50.0,1-3,33.3,2-2,100.0,11.0,8.0,4.0,1.0,2.0,1.0,19.0,
2019,Sex 22/3,emNY,V111-93,28.0,8-20,40.0,1-3,33.3,4-6,66.7,17.0,5.0,0.0,0.0,3.0,1.0,21.0,
2019,Qui 21/3,emWSH,V113-108,35.0,6-12,50.0,2-4,50.0,1-1,100.0,6.0,11.0,0.0,0.0,1.0,1.0,15.0,
2019,Seg 18/3,emBOS,V114-105,36.0,9-14,64.3,3-7,42.9,0-0,0.0,13.0,7.0,3.0,2.0,2.0,3.0,21.0,
2019,Dom 17/3,xIND,V102-100,34.0,11-21,52.4,2-7,28.6,2-2,100.0,7.0,5.0,0.0,0.0,3.0,4.0,26.0,
2019,Sex 15/3,xDAL,V100-99,30.0,4-9,44.4,0-2,0.0,3-4,75.0,14.0,8.0,1.0,0.0,1.0,2.0,11.0,
2019,Qua 13/3,xMIN,V133-107,26.0,9-14,64.3,0-0,0.0,0-0,0.0,8.0,7.0,1.0,0.0,4.0,4.0,18.0,
2019,Sáb 9/3,emGS,D122-105,29.0,5-10,50.0,1-1,100.0,5-8,62.5,6.0,4.0,1.0,4.0,2.0,2.0,16.0,
2019,Qui 7/3,emLAL,V115-99,35.0,3-5,60.0,0-1,0.0,6-8,75.0,17.0,8.0,0.0,3.0,1.0,2.0,12.0,
2019,Ter 5/3,emSA,D104-103,38.0,10-14,71.4,2-2,100.0,0-0,0.0,10.0,6.0,0.0,0.0,2.0,3.0,22.0,
2019,Dom 3/3,xNO,D120-112,22.0,7-11,63.6,1-2,50.0,5-6,83.3,9.0,7.0,2.0,2.0,4.0,2.0,20.0,
2019,march,march,march,31.1,7.9-14.3,54.9,0.9-2.8,33.3,2.4-3.3,73.5,11.4,6.1,1.0,1.0,2.5,2.3,19.1,
2019,Sex 1/3,xUTAH,D111-104,32.0,5-15,33.3,0-1,0.0,6-7,85.7,13.0,7.0,0.0,0.0,5.0,5.0,16.0,
2019,Qua 27/2,xOKC,V121-112,35.0,11-25,44.0,4-7,57.1,10-13,76.9,9.0,10.0,1.0,0.0,2.0,2.0,36.0,
2019,Dom 24/2,xLAC,V123-96,28.0,9-16,56.3,0-2,0.0,4-6,66.7,16.0,3.0,1.0,3.0,5.0,6.0,22.0,
2019,Sáb 23/2,emDAL,V114-104,30.0,7-16,43.8,1-2,50.0,4-4,100.0,13.0,8.0,0.0,1.0,4.0,4.0,19.0,
2019,Seg 18/2,xLEB*,D178-164,13.0,3-4,75.0,0-0,0.0,0-0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,6.0,
2019,Qui 14/2,xSAC,V120-118,36.0,7-17,41.2,0-2,0.0,6-6,100.0,18.0,11.0,0.0,1.0,1.0,4.0,20.0,
2019,Ter 12/2,xMIA,V103-87,36.0,7-16,43.8,3-3,100.0,6-7,85.7,12.0,4.0,0.0,0.0,3.0,7.0,23.0,
2019,Sáb 9/2,emPHI,D117-110,35.0,11-22,50.0,1-5,20.0,4-4,100.0,10.0,10.0,0.0,3.0,2.0,4.0,27.0,
2019,Qui 7/2,emBKN,D135-130,34.0,8-13,61.5,1-3,33.3,8-10,80.0,14.0,10.0,1.0,1.0,3.0,2.0,25.0,
2019,Ter 5/2,emDET,D129-103,26.0,7-17,41.2,0-3,0.0,2-3,66.7,3.0,4.0,0.0,3.0,4.0,3.0,16.0,
2019,Dom 3/2,emMIN,V107-106,29.0,4-13,30.8,0-2,0.0,5-8,62.5,16.0,10.0,0.0,0.0,4.0,5.0,13.0,
2019,Sáb 2/2,xHOU,V136-122,31.0,12-15,80.0,1-2,50.0,6-6,100.0,13.0,9.0,0.0,1.0,4.0,2.0,31.0,
2019,february,february,february,32.1,8.0-16.8,47.6,1.0-2.9,34.4,5.5-6.7,82.4,12.5,7.8,0.3,1.2,3.4,4.0,22.5,
2019,Qui 31/1,emNO,V105-99,37.0,9-16,56.3,0-2,0.0,2-2,100.0,13.0,10.0,2.0,3.0,2.0,2.0,20.0,
2019,Ter 29/1,emMEM,V95-92,35.0,10-20,50.0,1-8,12.5,3-3,100.0,5.0,3.0,0.0,4.0,3.0,4.0,24.0,
2019,Dom 27/1,xPHI,V126-110,34.0,12-22,54.5,2-3,66.7,6-7,85.7,18.0,10.0,0.0,1.0,1.0,1.0,32.0,
2019,Qui 24/1,emUTAH,D114-108,37.0,10-21,47.6,1-7,14.3,7-7,100.0,21.0,6.0,1.0,2.0,5.0,3.0,28.0,
2019,Dom 20/1,xCLE,V124-102,28.0,8-12,66.7,3-6,50.0,0-1,0.0,11.0,12.0,0.0,1.0,3.0,1.0,19.0,
2019,Sex 18/1,xCHI,V135-105,25.0,6-18,33.3,0-3,0.0,6-6,100.0,8.0,11.0,1.0,1.0,3.0,2.0,18.0,
2019,Qua 16/1,xGS,D142-111,23.0,6-12,50.0,0-1,0.0,5-5,100.0,4.0,8.0,0.0,0.0,3.0,3.0,17.0,
2019,Seg 14/1,xPOR,V116-113,37.0,15-23,65.2,4-7,57.1,6-8,75.0,10.0,8.0,0.0,0.0,4.0,3.0,40.0,
2019,Dom 13/1,emPHX,D102-93,34.0,8-15,53.3,1-4,25.0,6-7,85.7,10.0,4.0,1.0,0.0,0.0,2.0,23.0,
2019,Sex 11/1,xLAC,V121-100,28.0,8-19,42.1,0-5,0.0,2-3,66.7,14.0,10.0,2.0,0.0,3.0,1.0,18.0,
2019,Qua 9/1,emMIA,V103-99,40.0,11-21,52.4,1-2,50.0,6-6,100.0,11.0,10.0,0.0,1.0,3.0,3.0,29.0,
2019,Ter 8/1,emHOU,D125-113,28.0,11-20,55.0,1-1,100.0,1-1,100.0,13.0,4.0,1.0,2.0,2.0,8.0,24.0,
2019,Sáb 5/1,xCHA,V123-110,34.0,16-29,55.2,3-9,33.3,4-5,80.0,12.0,6.0,1.0,3.0,1.0,2.0,39.0,
2019,Sex 4/1,emSAC,V117-113,32.0,10-18,55.6,3-8,37.5,3-4,75.0,13.0,6.0,1.0,1.0,1.0,5.0,26.0,
2019,Qua 2/1,xNY,V115-108,34.0,8-16,50.0,1-2,50.0,2-3,66.7,14.0,15.0,3.0,1.0,3.0,5.0,19.0,
2019,january,january,january,32.3,9.9-18.8,52.5,1.4-4.5,30.9,3.9-4.5,86.8,11.8,8.2,0.9,1.3,2.5,3.0,25.1,
2019,Dom 30/12,emPHX,V122-118,38.0,8-11,72.7,0-2,0.0,7-8,87.5,8.0,9.0,1.0,3.0,3.0,4.0,23.0,
2019,Sáb 29/12,xSA,V102-99,37.0,10-14,71.4,1-4,25.0,0-0,0.0,9.0,9.0,0.0,0.0,6.0,6.0,21.0,
2019,Qui 27/12,emSA,D111-103,31.0,1-5,20.0,1-1,100.0,1-2,50.0,4.0,10.0,0.0,2.0,1.0,5.0,4.0,
2019,Sáb 22/12,emLAC,D132-111,21.0,7-15,46.7,2-2,100.0,3-3,100.0,6.0,3.0,1.0,0.0,2.0,4.0,19.0,
2019,Qua 19/12,xDAL,V126-118,35.0,13-25,52.0,2-6,33.3,4-4,100.0,16.0,4.0,1.0,3.0,4.0,5.0,32.0,
2019,Seg 17/12,xTOR,V95-86,35.0,11-19,57.9,0-1,0.0,4-5,80.0,10.0,4.0,0.0,2.0,0.0,3.0,26.0,
2019,Sáb 15/12,xOKC,V109-98,36.0,8-16,50.0,2-4,50.0,6-6,100.0,15.0,9.0,0.0,3.0,3.0,6.0,24.0,
2019,Ter 11/12,xMEM,V105-99,38.0,9-14,64.3,1-2,50.0,8-9,88.9,12.0,6.0,0.0,2.0,3.0,3.0,27.0,
2019,Dom 9/12,emATL,D106-98,33.0,9-17,52.9,0-2,0.0,6-7,85.7,11.0,7.0,0.0,2.0,1.0,1.0,24.0,
2019,Sáb 8/12,emCHA,D113-107,33.0,6-18,33.3,0-6,0.0,4-5,80.0,11.0,6.0,2.0,1.0,5.0,4.0,16.0,
2019,Qui 6/12,emORL,V124-118 TE,35.0,5-13,38.5,1-3,33.3,1-2,50.0,8.0,13.0,0.0,1.0,3.0,1.0,12.0,
2019,Ter 4/12,emTOR,V106-103,36.0,8-13,61.5,0-1,0.0,7-8,87.5,11.0,15.0,0.0,2.0,1.0,2.0,23.0,
2019,december,december,december,33.8,7.9-15.0,52.8,0.8-2.8,29.4,4.3-4.9,86.4,10.1,7.9,0.4,1.8,2.7,3.7,20.9,
2019,Sáb 1/12,emPOR,V113-112,32.0,7-12,58.3,0-2,0.0,1-1,100.0,6.0,7.0,1.0,1.0,3.0,1.0,15.0,
2019,Qua 28/11,xLAL,V117-85,23.0,5-14,35.7,2-4,50.0,2-2,100.0,7.0,7.0,1.0,1.0,1.0,3.0,14.0,
2019,Dom 25/11,emOKC,V105-98,27.0,6-20,30.0,0-7,0.0,4-5,80.0,6.0,5.0,1.0,0.0,4.0,4.0,16.0,
2019,Sáb 24/11,xORL,V112-87,23.0,2-7,28.6,0-3,0.0,2-2,100.0,10.0,11.0,0.0,2.0,4.0,0.0,6.0,
2019,Qui 22/11,emMIN,V103-101,37.0,3-13,23.1,1-5,20.0,0-0,0.0,12.0,10.0,0.0,1.0,4.0,3.0,7.0,
2019,Ter 20/11,emMIL,D104-98,33.0,8-18,44.4,3-8,37.5,1-1,100.0,5.0,5.0,0.0,1.0,1.0,3.0,20.0,
2019,Dom 18/11,emNO,D125-115,34.0,10-20,50.0,2-8,25.0,3-4,75.0,10.0,8.0,0.0,1.0,2.0,1.0,25.0,
2019,Sex 16/11,xATL,V138-93,25.0,5-11,45.5,1-2,50.0,1-2,50.0,9.0,7.0,1.0,4.0,3.0,2.0,12.0,
2019,Qua 14/11,xHOU,D109-99,33.0,6-14,42.9,0-1,0.0,2-3,66.7,12.0,7.0,0.0,2.0,3.0,3.0,14.0,
2019,Seg 12/11,xMIL,D121-114,29.0,7-14,50.0,4-8,50.0,2-2,100.0,6.0,6.0,1.0,1.0,1.0,3.0,20.0,
2019,Sáb 10/11,xBKN,D112-110,33.0,14-22,63.6,1-1,100.0,8-10,80.0,21.0,3.0,2.0,1.0,5.0,6.0,37.0,
2019,Qui 8/11,emMEM,D89-87,26.0,0-1,0.0,0-1,0.0,4-4,100.0,7.0,4.0,0.0,3.0,5.0,6.0,4.0,
2019,Ter 6/11,xBOS,V115-107,27.0,2-3,66.7,0-0,0.0,4-6,66.7,10.0,8.0,0.0,0.0,4.0,3.0,8.0,
2019,Dom 4/11,xUTAH,V103-88,29.0,3-9,33.3,0-3,0.0,1-2,50.0,10.0,16.0,0.0,1.0,2.0,4.0,7.0,
2019,Qui 1/11,emCLE,V110-91,22.0,2-5,40.0,0-1,0.0,0-0,0.0,6.0,3.0,1.0,1.0,2.0,2.0,4.0,
2019,november,november,november,28.9,5.3-12.2,43.7,0.9-3.6,25.9,2.3-2.9,79.5,9.1,7.1,0.5,1.3,2.9,2.9,13.9,
2019,Qui 1/11,emCHI,V108-107 TE,33.0,9-20,45.0,3-6,50.0,1-1,100.0,12.0,9.0,3.0,2.0,2.0,6.0,22.0,
