Temporada,Date,ADV,Resultado,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,V,BLK,STL,PF,TO,PTS,Estat. Temporada Regular
2019,Ter 30/10,xNO,V116-111,29.0,3-8,37.5,2-4,50.0,4-4,100.0,9.0,10.0,2.0,0.0,4.0,0.0,12.0,
2019,Sex 26/10,emLAL,D121-114,33.0,9-17,52.9,1-5,20.0,5-5,100.0,11.0,3.0,1.0,1.0,5.0,6.0,24.0,
2019,Qua 24/10,xSAC,V126-112,23.0,6-11,54.5,1-2,50.0,1-1,100.0,12.0,6.0,0.0,1.0,4.0,3.0,14.0,
2019,Seg 22/10,xGS,V100-98,32.0,7-14,50.0,0-1,0.0,9-12,75.0,11.0,6.0,0.0,0.0,2.0,2.0,23.0,
2019,Dom 21/10,xPHX,V119-91,31.0,11-11,100.0,3-3,100.0,10-11,90.9,11.0,11.0,1.0,4.0,3.0,0.0,35.0,
2019,Qui 18/10,emLAC,V107-98,34.0,6-13,46.2,1-4,25.0,8-10,80.0,8.0,5.0,2.0,1.0,4.0,2.0,21.0,
2019,october,october,october,30.7,7.3-13.4,54.3,1.6-3.6,44.0,5.4-6.3,86.4,10.6,7.1,1.3,1.3,3.4,2.7,21.6,
2020,Sex 14/8,emTOR,D117-109,10.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,
2020,Qui 13/8,xLAC,D124-111,28.0,7-11,63.6,1-4,25.0,2-4,50.0,7.0,13.0,0.0,0.0,1.0,1.0,17.0,
2020,Ter 11/8,emLAL,D124-121,26.0,4-7,57.1,2-2,100.0,2-2,100.0,1.0,4.0,0.0,1.0,3.0,1.0,12.0,
2020,Sáb 8/8,xUTAH,V134-132 2TE,42.0,11-21,52.4,2-6,33.3,6-6,100.0,11.0,7.0,0.0,3.0,5.0,4.0,30.0,
2020,Sex 7/8,xPOR,D125-115,24.0,3-8,37.5,0-2,0.0,2-2,100.0,5.0,13.0,0.0,0.0,2.0,5.0,8.0,
2020,Qua 5/8,emSA,V132-126,32.0,10-17,58.8,3-5,60.0,2-2,100.0,4.0,11.0,0.0,1.0,4.0,5.0,25.0,
2020,Seg 3/8,emOKC,V121-113 TE,39.0,10-21,47.6,0-5,0.0,10-11,90.9,12.0,10.0,0.0,2.0,4.0,4.0,30.0,
2020,Sáb 1/8,xMIA,D125-105,34.0,7-16,43.8,1-5,20.0,4-6,66.7,7.0,6.0,1.0,1.0,3.0,3.0,19.0,
2020,Qui 12/3,emDAL,D113-97,34.0,7-10,70.0,0-2,0.0,0-0,0.0,13.0,8.0,0.0,0.0,3.0,5.0,14.0,
2020,Ter 10/3,xMIL,V109-95,30.0,4-13,30.8,1-5,20.0,1-2,50.0,9.0,7.0,0.0,1.0,3.0,2.0,10.0,
2020,Dom 8/3,emCLE,D104-102,32.0,4-11,36.4,0-3,0.0,0-1,0.0,8.0,8.0,0.0,1.0,3.0,4.0,8.0,
2020,Sex 6/3,emCHA,V114-112,31.0,5-10,50.0,0-2,0.0,4-4,100.0,11.0,8.0,1.0,1.0,5.0,6.0,14.0,
2020,Qua 4/3,xGS,D116-100,32.0,7-15,46.7,0-1,0.0,2-2,100.0,13.0,7.0,2.0,1.0,2.0,5.0,16.0,
2020,Dom 1/3,xTOR,V133-118,35.0,8-11,72.7,0-0,0.0,7-9,77.8,18.0,11.0,0.0,1.0,2.0,2.0,23.0,
2020,march,march,march,32.3,5.8-11.7,50.0,0.2-2.2,7.7,2.3-3.0,77.8,12.0,8.2,0.5,0.8,3.0,4.0,14.2,
2020,Sáb 29/2,emLAC,D132-103,25.0,9-13,69.2,0-2,0.0,3-4,75.0,9.0,2.0,0.0,1.0,1.0,3.0,21.0,
2020,Qua 26/2,xDET,V115-98,28.0,5-8,62.5,1-1,100.0,5-5,100.0,5.0,4.0,0.0,4.0,4.0,5.0,16.0,
2020,Dom 23/2,xMIN,V128-116,31.0,11-14,78.6,0-1,0.0,2-3,66.7,7.0,6.0,2.0,2.0,4.0,3.0,24.0,
2020,Sáb 22/2,emOKC,D113-101,34.0,12-15,80.0,1-2,50.0,7-7,100.0,7.0,5.0,1.0,1.0,1.0,2.0,32.0,
2020,Seg 17/2,xGIA*,V157-155,12.0,2-4,50.0,1-3,33.3,0-0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,5.0,
2020,Qui 13/2,xLAL,D120-116 TE,37.0,9-18,50.0,2-3,66.7,2-2,100.0,11.0,6.0,1.0,3.0,5.0,3.0,22.0,
2020,Ter 11/2,xSA,V127-120,38.0,6-8,75.0,0-1,0.0,7-8,87.5,8.0,13.0,1.0,0.0,4.0,5.0,19.0,
2020,Dom 9/2,emPHX,V117-108,34.0,9-19,47.4,0-3,0.0,5-5,100.0,9.0,6.0,3.0,1.0,3.0,6.0,23.0,
2020,Qui 6/2,emUTAH,V98-95,40.0,14-24,58.3,0-2,0.0,2-4,50.0,21.0,10.0,0.0,2.0,2.0,1.0,30.0,
2020,Qua 5/2,xPOR,V127-99,31.0,11-17,64.7,3-5,60.0,4-4,100.0,13.0,9.0,3.0,2.0,1.0,4.0,29.0,
2020,Dom 2/2,emDET,D128-123 TE,40.0,16-23,69.6,1-3,33.3,6-7,85.7,10.0,11.0,2.0,3.0,4.0,2.0,39.0,
2020,february,february,february,33.7,10.2-15.9,64.2,0.8-2.3,34.8,4.3-4.9,87.8,10.0,7.2,1.3,1.9,2.9,3.4,25.5,
2020,Sáb 1/2,emMIL,V127-115,33.0,7-17,41.2,1-3,33.3,0-0,0.0,10.0,9.0,0.0,1.0,4.0,3.0,15.0,
2020,Sex 31/1,xUTAH,V106-100,35.0,11-19,57.9,1-2,50.0,5-6,83.3,4.0,10.0,0.0,3.0,4.0,3.0,28.0,
2020,Qua 29/1,emMEM,D104-96,39.0,8-16,50.0,3-6,50.0,6-6,100.0,13.0,5.0,1.0,0.0,3.0,8.0,25.0,
2020,Dom 26/1,xHOU,V117-110,38.0,9-18,50.0,0-2,0.0,6-7,85.7,12.0,11.0,0.0,2.0,4.0,6.0,24.0,
2020,Sáb 25/1,emNO,V113-106,35.0,9-20,45.0,1-6,16.7,8-8,100.0,12.0,7.0,1.0,4.0,3.0,2.0,27.0,
2020,Qui 23/1,emHOU,D121-105,34.0,8-19,42.1,0-1,0.0,3-6,50.0,12.0,10.0,1.0,1.0,2.0,6.0,19.0,
2020,Ter 21/1,emMIN,V107-100,34.0,7-15,46.7,0-3,0.0,3-4,75.0,13.0,5.0,0.0,1.0,4.0,5.0,17.0,
2020,Seg 20/1,xIND,D115-107,32.0,10-16,62.5,2-4,50.0,8-12,66.7,10.0,4.0,0.0,3.0,4.0,1.0,30.0,
2020,Sex 17/1,emGS,V134-131 TE,44.0,10-20,50.0,0-3,0.0,3-3,100.0,12.0,8.0,2.0,0.0,4.0,9.0,23.0,
2020,Qui 16/1,xCHA,V100-86,29.0,5-9,55.6,0-1,0.0,2-2,100.0,8.0,8.0,2.0,1.0,3.0,4.0,12.0,
2020,Seg 13/1,xLAC,V114-104,31.0,6-14,42.9,3-4,75.0,5-6,83.3,15.0,6.0,0.0,1.0,5.0,2.0,20.0,
2020,Dom 12/1,xCLE,D111-103,34.0,8-12,66.7,2-5,40.0,1-1,100.0,12.0,5.0,0.0,0.0,2.0,1.0,19.0,
2020,Qui 9/1,emDAL,V107-106,31.0,12-20,60.0,4-6,66.7,5-8,62.5,6.0,7.0,1.0,1.0,1.0,3.0,33.0,
2020,Ter 7/1,emATL,V123-115,37.0,16-25,64.0,4-8,50.0,11-16,68.8,8.0,5.0,1.0,2.0,3.0,0.0,47.0,
2020,Dom 5/1,emWSH,D128-114,30.0,4-10,40.0,1-3,33.3,5-7,71.4,10.0,4.0,0.0,1.0,0.0,2.0,14.0,
2020,Sex 3/1,emIND,V124-116,24.0,7-15,46.7,0-3,0.0,8-8,100.0,7.0,0.0,0.0,0.0,5.0,2.0,22.0,
2020,january,january,january,33.8,8.6-16.6,51.7,1.4-3.8,36.7,4.9-6.3,79.0,10.3,6.5,0.6,1.3,3.2,3.6,23.4,
2020,Qua 1/1,emHOU,D130-104,32.0,10-17,58.8,0-1,0.0,1-1,100.0,8.0,4.0,0.0,0.0,2.0,6.0,21.0,
2020,Seg 30/12,xSAC,V120-115,27.0,7-8,87.5,0-0,0.0,3-4,75.0,8.0,4.0,0.0,1.0,3.0,4.0,17.0,
2020,Sáb 28/12,xMEM,V119-110,33.0,12-19,63.2,2-5,40.0,5-7,71.4,10.0,10.0,0.0,1.0,6.0,1.0,31.0,
2020,Qui 26/12,xNO,D112-100,31.0,8-20,40.0,2-5,40.0,5-6,83.3,10.0,4.0,0.0,2.0,3.0,5.0,23.0,
2020,Ter 24/12,emPHX,V113-111,31.0,6-13,46.2,4-7,57.1,6-6,100.0,12.0,10.0,0.0,1.0,4.0,2.0,22.0,
2020,Seg 23/12,emLAL,V128-104,27.0,5-8,62.5,1-1,100.0,7-7,100.0,6.0,5.0,1.0,1.0,3.0,1.0,18.0,
2020,Sáb 21/12,xMIN,V109-100,33.0,10-16,62.5,2-4,50.0,0-0,0.0,10.0,10.0,2.0,0.0,4.0,2.0,22.0,
2020,Qui 19/12,xORL,V113-104,31.0,7-14,50.0,2-4,50.0,2-2,100.0,9.0,12.0,1.0,1.0,2.0,4.0,18.0,
2020,Seg 16/12,xNY,V111-105,36.0,10-22,45.5,2-5,40.0,3-4,75.0,10.0,5.0,1.0,1.0,1.0,2.0,25.0,
2020,Dom 15/12,xOKC,V110-102,35.0,11-14,78.6,3-6,50.0,3-4,75.0,14.0,12.0,0.0,1.0,2.0,3.0,28.0,
2020,Sex 13/12,xPOR,V114-99,31.0,7-14,50.0,2-5,40.0,4-6,66.7,11.0,6.0,0.0,0.0,2.0,1.0,20.0,
2020,Qua 11/12,emPHI,D97-92,33.0,7-13,53.8,1-4,25.0,0-0,0.0,7.0,11.0,1.0,0.0,2.0,2.0,15.0,
2020,Dom 8/12,emBKN,D105-102,34.0,10-21,47.6,2-6,33.3,2-2,100.0,11.0,6.0,0.0,0.0,3.0,3.0,24.0,
2020,Sáb 7/12,emBOS,D108-95,31.0,13-21,61.9,1-5,20.0,3-3,100.0,10.0,4.0,2.0,1.0,3.0,1.0,30.0,
2020,Sex 6/12,emNY,V129-92,25.0,3-7,42.9,0-1,0.0,0-0,0.0,10.0,8.0,1.0,0.0,2.0,0.0,6.0,
2020,Qua 4/12,xLAL,D105-96,34.0,4-12,33.3,0-2,0.0,5-6,83.3,5.0,8.0,0.0,3.0,4.0,5.0,13.0,
2020,december,december,december,31.4,8.1-14.9,54.4,1.5-3.8,39.3,3.1-3.6,84.5,9.4,7.4,0.6,0.8,2.9,2.6,20.8,
2020,Sáb 30/11,emSAC,D100-97 TE,36.0,3-11,27.3,0-3,0.0,1-2,50.0,10.0,6.0,1.0,0.0,3.0,4.0,7.0,
2020,Qua 27/11,xWSH,V117-104,25.0,4-8,50.0,0-0,0.0,0-0,0.0,20.0,5.0,0.0,0.0,3.0,3.0,8.0,
2020,Seg 25/11,xPHX,V116-104,32.0,4-9,44.4,0-1,0.0,0-0,0.0,13.0,5.0,0.0,2.0,2.0,1.0,8.0,
2020,Sáb 23/11,xBOS,V96-92,36.0,7-17,41.2,0-4,0.0,4-4,100.0,16.0,10.0,1.0,3.0,2.0,3.0,18.0,
2020,Qui 21/11,xHOU,V105-95,32.0,12-19,63.2,2-4,50.0,1-1,100.0,12.0,4.0,0.0,0.0,5.0,7.0,27.0,
2020,Dom 17/11,emMEM,V131-114,26.0,4-7,57.1,1-3,33.3,0-0,0.0,5.0,8.0,0.0,0.0,3.0,2.0,9.0,
2020,Sex 15/11,xBKN,V101-93,28.0,8-14,57.1,2-5,40.0,0-0,0.0,10.0,3.0,0.0,0.0,4.0,0.0,18.0,
2020,Qua 13/11,xATL,D125-121,31.0,7-19,36.8,1-8,12.5,5-6,83.3,6.0,7.0,0.0,3.0,2.0,2.0,20.0,
2020,Dom 10/11,emMIN,V100-98 TE,36.0,9-23,39.1,1-7,14.3,1-3,33.3,6.0,7.0,1.0,1.0,4.0,0.0,20.0,
2020,Sáb 9/11,xPHI,V100-97,38.0,10-22,45.5,2-9,22.2,4-5,80.0,10.0,6.0,2.0,2.0,4.0,1.0,26.0,
2020,Qua 6/11,xMIA,V109-89,23.0,4-12,33.3,1-4,25.0,0-1,0.0,5.0,5.0,1.0,1.0,4.0,4.0,9.0,
2020,Sáb 2/11,emORL,V91-87,31.0,7-14,50.0,3-7,42.9,3-4,75.0,7.0,4.0,0.0,0.0,2.0,1.0,20.0,
2020,november,november,november,31.2,6.6-14.6,45.1,1.1-4.6,23.6,1.6-2.2,73.1,10.0,5.8,0.5,1.0,3.2,2.3,15.8,
2020,Sex 1/11,emNO,D122-107,27.0,5-6,83.3,0-1,0.0,3-3,100.0,6.0,6.0,0.0,1.0,3.0,2.0,13.0,
2020,Qua 30/10,xDAL,D109-106,33.0,4-8,50.0,0-1,0.0,2-2,100.0,10.0,10.0,0.0,3.0,3.0,4.0,10.0,
2020,Ter 29/10,emSAC,V101-94,28.0,4-15,26.7,0-5,0.0,1-1,100.0,13.0,2.0,1.0,2.0,4.0,2.0,9.0,
2020,Sáb 26/10,xPHX,V108-107 TE,41.0,8-18,44.4,0-2,0.0,7-9,77.8,14.0,12.0,2.0,1.0,4.0,5.0,23.0,
2020,Qui 24/10,emPOR,V108-100,24.0,8-14,57.1,3-5,60.0,1-2,50.0,13.0,2.0,0.0,0.0,4.0,4.0,20.0,
2020,october,october,october,30.6,5.8-12.2,47.5,0.6-2.8,21.4,2.8-3.4,82.4,11.2,6.4,0.6,1.4,3.6,3.4,15.0,
2021,Seg 17/5,emPOR,D132-116,17.0,9-17,52.9,0-3,0.0,3-3,100.0,3.0,2.0,0.0,1.0,3.0,1.0,21.0,
2021,Sáb 15/5,emDET,V104-91,26.0,7-11,63.6,0-0,0.0,6-7,85.7,15.0,11.0,0.0,0.0,2.0,1.0,20.0,
2021,Sex 14/5,emMIN,V114-103,32.0,14-21,66.7,0-3,0.0,3-3,100.0,14.0,4.0,1.0,1.0,2.0,2.0,31.0,
2021,Ter 11/5,emCHA,V117-112,33.0,7-16,43.8,0-2,0.0,16-17,94.1,11.0,6.0,0.0,0.0,2.0,2.0,30.0,
2021,Dom 9/5,xBKN,D125-119,37.0,10-21,47.6,0-5,0.0,9-9,100.0,7.0,6.0,0.0,0.0,3.0,5.0,29.0,
2021,Sáb 8/5,emUTAH,D127-120,35.0,9-11,81.8,2-2,100.0,4-4,100.0,9.0,13.0,1.0,0.0,5.0,5.0,24.0,
2021,Qui 6/5,xNY,V113-97,29.0,10-16,62.5,0-2,0.0,12-15,80.0,12.0,6.0,2.0,2.0,3.0,4.0,32.0,
2021,Ter 4/5,emLAL,D93-89,36.0,12-28,42.9,1-4,25.0,7-8,87.5,9.0,5.0,1.0,2.0,4.0,2.0,32.0,
2021,Dom 2/5,emLAC,V110-104,33.0,9-17,52.9,2-6,33.3,10-10,100.0,14.0,7.0,1.0,0.0,4.0,0.0,30.0,
2021,Sex 30/4,xTOR,V121-111,28.0,8-13,61.5,2-3,66.7,1-1,100.0,11.0,2.0,0.0,1.0,1.0,1.0,19.0,
2021,Qui 29/4,xNO,V114-112,36.0,12-20,60.0,2-4,50.0,6-8,75.0,7.0,8.0,3.0,3.0,1.0,6.0,32.0,
2021,Ter 27/4,xMEM,V120-96,30.0,6-12,50.0,2-3,66.7,10-10,100.0,15.0,5.0,0.0,2.0,3.0,6.0,24.0,
2021,Dom 25/4,xHOU,V129-116,29.0,10-14,71.4,0-0,0.0,4-6,66.7,8.0,12.0,1.0,1.0,4.0,4.0,24.0,
2021,Sáb 24/4,emGS,D118-97,33.0,7-16,43.8,0-3,0.0,5-5,100.0,6.0,6.0,0.0,0.0,2.0,1.0,19.0,
2021,Qui 22/4,emPOR,V106-105,36.0,9-18,50.0,1-6,16.7,6-7,85.7,9.0,5.0,1.0,0.0,0.0,4.0,25.0,
2021,Ter 20/4,xMEM,V139-137 2TE,45.0,20-31,64.5,2-6,33.3,5-6,83.3,15.0,8.0,1.0,0.0,3.0,7.0,47.0,
2021,Sáb 17/4,emHOU,V128-99,27.0,10-12,83.3,1-1,100.0,8-9,88.9,16.0,7.0,0.0,2.0,3.0,0.0,29.0,
2021,Qui 15/4,xMIA,V123-106,32.0,6-14,42.9,1-2,50.0,4-5,80.0,10.0,11.0,2.0,1.0,3.0,2.0,17.0,
2021,Ter 13/4,emGS,D116-107,37.0,10-21,47.6,1-5,20.0,6-8,75.0,12.0,8.0,1.0,1.0,1.0,4.0,27.0,
2021,Dom 11/4,xBOS,D105-87,32.0,6-15,40.0,0-2,0.0,5-7,71.4,10.0,11.0,1.0,1.0,3.0,2.0,17.0,
2021,Sáb 10/4,xSA,V121-119,38.0,9-17,52.9,2-2,100.0,6-6,100.0,13.0,14.0,0.0,1.0,4.0,6.0,26.0,
2021,Qui 8/4,xSA,V106-96,30.0,11-18,61.1,0-2,0.0,3-4,75.0,9.0,10.0,0.0,1.0,0.0,6.0,25.0,
2021,Qua 7/4,xDET,V134-119,27.0,13-16,81.3,0-0,0.0,1-2,50.0,8.0,11.0,1.0,1.0,3.0,1.0,27.0,
2021,Seg 5/4,xORL,V119-109,38.0,5-11,45.5,0-1,0.0,7-9,77.8,9.0,16.0,0.0,1.0,4.0,4.0,17.0,
2021,Sex 2/4,emLAC,V101-94,36.0,6-16,37.5,2-3,66.7,0-0,0.0,7.0,7.0,1.0,0.0,3.0,4.0,14.0,
2021,april,april,april,33.4,9.3-16.5,56.1,1.0-2.7,37.2,4.8-5.8,82.8,10.3,8.8,0.8,1.0,2.4,3.6,24.3,
2021,Qua 31/3,xPHI,V104-95,34.0,8-14,57.1,0-1,0.0,5-6,83.3,10.0,5.0,0.0,0.0,1.0,5.0,21.0,
2021,Seg 29/3,xATL,V126-102,28.0,7-12,58.3,1-2,50.0,1-2,50.0,10.0,8.0,2.0,1.0,0.0,0.0,16.0,
2021,Sáb 27/3,emNO,V113-108,41.0,17-30,56.7,3-5,60.0,0-0,0.0,6.0,9.0,1.0,2.0,3.0,1.0,37.0,
2021,Qua 24/3,emTOR,D135-111,30.0,8-14,57.1,0-2,0.0,4-4,100.0,10.0,5.0,0.0,1.0,1.0,4.0,20.0,
2021,Ter 23/3,emORL,V110-99,36.0,11-17,64.7,2-4,50.0,4-4,100.0,15.0,10.0,1.0,2.0,2.0,3.0,28.0,
2021,Dom 21/3,xNO,D113-108,35.0,13-19,68.4,3-4,75.0,0-0,0.0,10.0,10.0,1.0,1.0,3.0,5.0,29.0,
2021,Sáb 20/3,xCHI,V131-127 TE,42.0,14-23,60.9,2-4,50.0,4-6,66.7,15.0,9.0,1.0,2.0,4.0,1.0,34.0,
2021,Qui 18/3,xCHA,V129-104,29.0,6-7,85.7,0-0,0.0,0-0,0.0,10.0,10.0,0.0,0.0,2.0,3.0,12.0,
2021,Ter 16/3,xIND,V121-106,34.0,11-25,44.0,2-4,50.0,8-10,80.0,14.0,5.0,1.0,4.0,2.0,1.0,32.0,
2021,Dom 14/3,xDAL,D116-103,36.0,10-20,50.0,1-5,20.0,5-6,83.3,9.0,11.0,0.0,0.0,0.0,4.0,26.0,
2021,Sáb 13/3,emMEM,V103-102,36.0,13-22,59.1,1-2,50.0,1-2,50.0,15.0,7.0,0.0,2.0,1.0,1.0,28.0,
2021,Seg 8/3,xDUR*,V170-150,19.0,3-4,75.0,0-0,0.0,0-0,0.0,7.0,5.0,1.0,0.0,1.0,2.0,6.0,
2021,Sex 5/3,emIND,V113-103,37.0,9-18,50.0,1-2,50.0,1-2,50.0,12.0,8.0,0.0,0.0,2.0,7.0,20.0,
2021,Qua 3/3,emMIL,V128-97,36.0,15-23,65.2,2-3,66.7,5-5,100.0,10.0,11.0,0.0,2.0,1.0,2.0,37.0,
2021,Ter 2/3,emCHI,V118-112,38.0,17-28,60.7,0-3,0.0,5-5,100.0,14.0,9.0,2.0,1.0,4.0,1.0,39.0,
2021,march,march,march,35.2,11.4-19.4,58.5,1.3-2.9,43.9,3.1-3.7,82.7,11.4,8.4,0.6,1.3,1.9,2.7,27.1,
2021,Dom 28/2,emOKC,V126-96,30.0,8-10,80.0,1-2,50.0,2-2,100.0,11.0,13.0,0.0,2.0,3.0,0.0,19.0,
2021,Sex 26/2,xWSH,D112-110,38.0,9-18,50.0,3-4,75.0,3-3,100.0,11.0,7.0,2.0,1.0,3.0,1.0,24.0,
2021,Qua 24/2,xPOR,V111-106,38.0,17-32,53.1,3-6,50.0,4-4,100.0,5.0,5.0,0.0,1.0,1.0,0.0,41.0,
2021,Seg 22/2,emATL,D123-115,37.0,5-15,33.3,2-5,40.0,3-4,75.0,10.0,6.0,0.0,3.0,5.0,4.0,15.0,
2021,Sáb 20/2,emCLE,V120-103,33.0,5-8,62.5,1-2,50.0,5-5,100.0,12.0,10.0,1.0,4.0,2.0,3.0,16.0,
2021,Qui 18/2,emWSH,D130-128,37.0,12-21,57.1,3-5,60.0,6-6,100.0,7.0,9.0,0.0,2.0,4.0,3.0,33.0,
2021,Qua 17/2,emBOS,D112-99,38.0,16-23,69.6,3-5,60.0,8-8,100.0,6.0,5.0,1.0,2.0,3.0,3.0,43.0,
2021,Seg 15/2,xLAL,V122-105,35.0,8-17,47.1,1-5,20.0,6-6,100.0,16.0,10.0,1.0,0.0,2.0,3.0,23.0,
2021,Sáb 13/2,xOKC,V97-95,37.0,9-16,56.3,2-7,28.6,2-2,100.0,13.0,9.0,1.0,1.0,4.0,2.0,22.0,
2021,Qui 11/2,xCLE,V133-95,30.0,5-7,71.4,0-0,0.0,2-2,100.0,6.0,12.0,0.0,2.0,3.0,2.0,12.0,
2021,Ter 9/2,xMIL,D125-112,39.0,13-26,50.0,3-6,50.0,6-6,100.0,12.0,6.0,0.0,0.0,3.0,0.0,35.0,
2021,Sáb 6/2,emSAC,D119-114,41.0,20-33,60.6,3-6,50.0,7-7,100.0,8.0,12.0,3.0,1.0,2.0,1.0,50.0,
2021,Sex 5/2,emLAL,D114-93,35.0,6-16,37.5,0-0,0.0,1-2,50.0,9.0,6.0,0.0,1.0,4.0,3.0,13.0,
2021,february,february,february,35.8,10.2-18.6,55.0,1.9-4.1,47.2,4.2-4.4,96.5,9.7,8.5,0.7,1.5,3.0,1.9,26.6,
2021,Dom 31/1,xUTAH,V128-117,37.0,17-26,65.4,4-4,100.0,9-10,90.0,12.0,5.0,1.0,2.0,2.0,3.0,47.0,
2021,Sáb 30/1,emSA,D119-109,39.0,14-24,58.3,5-11,45.5,2-4,50.0,10.0,5.0,1.0,1.0,3.0,4.0,35.0,
2021,Qui 28/1,emMIA,V109-82,34.0,9-14,64.3,1-5,20.0,2-2,100.0,11.0,3.0,1.0,0.0,2.0,1.0,21.0,
2021,Ter 26/1,emDAL,V117-113,34.0,8-13,61.5,0-2,0.0,4-4,100.0,10.0,4.0,1.0,2.0,2.0,6.0,20.0,
2021,Dom 24/1,emPHX,V120-112 2TE,42.0,9-21,42.9,0-0,0.0,11-14,78.6,22.0,6.0,0.0,1.0,3.0,6.0,29.0,
2021,Sáb 23/1,emPHX,V130-126 TE,40.0,15-27,55.6,1-3,33.3,0-1,0.0,10.0,8.0,0.0,3.0,4.0,3.0,31.0,
2021,Qua 20/1,xOKC,V119-101,28.0,12-21,57.1,0-4,0.0,3-3,100.0,12.0,6.0,1.0,1.0,2.0,1.0,27.0,
2021,Seg 18/1,xUTAH,D109-105,40.0,14-23,60.9,3-6,50.0,4-4,100.0,14.0,9.0,1.0,2.0,4.0,6.0,35.0,
2021,Sex 15/1,xGS,V114-104,36.0,8-16,50.0,0-4,0.0,7-7,100.0,14.0,10.0,0.0,3.0,4.0,3.0,23.0,
2021,Qua 13/1,emBKN,D122-116,34.0,8-17,47.1,1-4,25.0,6-6,100.0,8.0,11.0,1.0,7.0,2.0,1.0,23.0,
2021,Dom 10/1,emNY,V114-89,30.0,9-15,60.0,1-3,33.3,3-3,100.0,10.0,5.0,1.0,1.0,1.0,2.0,22.0,
2021,Sáb 9/1,emPHI,V115-103,29.0,6-8,75.0,0-0,0.0,3-3,100.0,9.0,12.0,0.0,0.0,2.0,4.0,15.0,
2021,Sex 8/1,xDAL,D124-117 TE,41.0,14-31,45.2,4-10,40.0,6-10,60.0,11.0,4.0,0.0,2.0,4.0,3.0,38.0,
2021,Qua 6/1,xMIN,V123-116,37.0,12-20,60.0,1-1,100.0,10-12,83.3,15.0,6.0,1.0,3.0,5.0,4.0,35.0,
2021,Seg 4/1,emMIN,V124-109,32.0,8-12,66.7,0-1,0.0,3-3,100.0,12.0,12.0,0.0,0.0,5.0,7.0,19.0,
2021,Sáb 2/1,xPHX,D106-103,30.0,7-13,53.8,3-5,60.0,0-0,0.0,9.0,11.0,0.0,1.0,5.0,1.0,17.0,
2021,january,january,january,35.1,10.6-18.8,56.5,1.5-3.9,38.1,4.6-5.4,84.9,11.8,7.3,0.6,1.8,3.1,3.4,27.3,
2021,Qua 30/12,emSAC,D125-115,39.0,9-14,64.3,1-3,33.3,7-7,100.0,10.0,12.0,0.0,2.0,4.0,10.0,26.0,
2021,Ter 29/12,xHOU,V124-111,34.0,8-11,72.7,1-1,100.0,2-3,66.7,12.0,18.0,1.0,3.0,2.0,3.0,19.0,
2021,Sáb 26/12,xLAC,D121-108,38.0,7-13,53.8,1-4,25.0,9-11,81.8,9.0,10.0,0.0,1.0,2.0,5.0,24.0,
